line_idx,line,function,tag,intro
92,"              TEREMI-BOSONS          Teh-REH-mee-BOH-suns
",X,keyword,1
93,"
",E,,1
94,"STAR TREK: ""Ensigns of Command"" - REV. 7/13/89 - TEASER   1.",H,,0
95,"
",E,,0
96,"                STAR TREK: THE NEXT GENERATION                  
",X,series,0
97,"                   ""The Ensigns of Command""                        
",X,episode,0
98,"                            TEASER                              
",N,act,0
99,"
",E,,0
100,"	FADE IN:
",A,,0
101,"
",E,,0
102,1    EXT. SPACE - THE ENTERPRISE (OPTICAL),S,,0
103,"
",E,,0
104,"	Moving at impulse near some extraordinarily interesting
",A,,0
105,"	astronomical object.
",A,,0
106,"
",E,,0
107,2    INT. TEN-FORWARD,S,,0
108,"
",E,,0
109,"	Present are PICARD, BEVERLY, and TWELVE N.D.
",A,,0
110,"	CREWMEMBERS. A VULCAN and ONE WOMAN are seated,
",A,,0
111,"	holding their instruments -- a violin and a viola.
",A,,0
112,"	O'BRIEN tunes his cello. DATA ENTERS carrying a
",A,,0
113,"	violin. He checks at the door, startled to see the
",A,,0
114,"	captain. Picard beckons, and Data crosses to him.
",A,,0
115,"
",E,,0
116,"					DATA
",C,,0
117,"			Captain, Doctor, I am honored by
",D,,0
118,"			your presence, but may I suggest
",D,,0
119,"			you attend the second concert.
",D,,0
120,"
",E,,0
121,"					BEVERLY
",C,,0
122,"			Why, Data?
",D,,0
123,"
",E,,0
124,"					DATA
",C,,0
125,"			Ensign Ortiz will perform the
",D,,0
126,"			violin part. My rendition will
",D,,0
127,"			be less enjoyable.
",D,,0
128,"
",E,,0
129,"					PICARD
",C,,0
130,"			Oh?
",D,,0
131,"
",E,,0
132,"					DATA
",C,,0
133,"			While I am quite proficient
",D,,0
134,"			Technically, according to my
",D,,0
135,"			fellow performers, I lack soul.
",D,,0
136,"
",E,,0
137,"					BEVERLY
",C,,0
138,"			Data, telling us why you're going
",D,,0
139,"			to fail before you make the
",D,,0
140,"			attempt is never wise.
",D,,0
141,"
",E,,0
142,"					DATA
",C,,0
143,"			But is not honesty always the
",D,,0
144,"			preferred choice?
",D,,0
145,"
",E,,0
146,"STAR TREK: ""Ensigns of Command"" - REV. 7/14/89 - TEASER   2.",H,,0
147,"
",E,,0
148,2    CONTINUED:,S,,0
149,"
",E,,0
150,"					PICARD
",C,,0
151,"			Excessive honesty can be
",D,,0
152,"			disastrous... particularly in a
",D,,0
153,"			commander.
",D,,0
154,"
",E,,0
155,"					DATA
",C,,0
156,"				(very intrigued)
",M,,0
157,"			Indeed?
",D,,0
158,"
",E,,0
159,"					PICARD
",C,,0
160,"			Knowing your limitations is one
",D,,0
161,"			thing. Advertising them to a crew
",D,,0
162,"			can damage your ability to lead.
",D,,0
163,"
",E,,0
164,"					DATA
",C,,0
165,"			Because you lose their respect?
",D,,0
166,"
",E,,0
167,"					BEVERLY
",C,,0
168,"			No, because you may begin to
",D,,0
169,"			believe in those limitations
",D,,0
170,"			yourself.
",D,,0
171,"
",E,,0
172,"	Data considers this, then moves to take his place with
",A,,0
173,"	the other performers.
",A,,0
174,"
",E,,0
175,2A   ANGLE ON PICARD AND BEVERLY,S,,0
176,"
",E,,0
177,"	O.s., the string quartet TUNES. There is the SOUND of
",A,,0
178,"	the communicator hail.
",A,,0
179,"
",E,,0
180,"					RIKER'S COM VOICE
",C,,0
181,"			Captain, we're receiving a message
",D,,0
182,"			from the Sheliak Corporate.
",D,,0
183,"
",E,,0
184,"	Picard reacts with surprise, stands and EXITS. As he
",A,,0
185,"	leaves, the quartet starts to PLAY.
",A,,0
186,"
",E,,0
187,"									CUT TO:
",O,,0
188,"
",E,,0
189,3    INT. MAIN BRIDGE,S,,0
190,"
",E,,0
191,"	Picard ENTERS. RIKER and WORF at their usual stations.
",A,,0
192,"	Supernumeraries at CONN and OPS.
",A,,0
193,"
",E,,0
194,"STAR TREK: ""Ensigns of Command"" - REV. 7/14/89 - TEASER   3.",H,,0
195,"
",E,,0
196,3    CONTINUED:,S,,0
197,"
",E,,0
198,"					WORF
",C,,0
199,"			Origin point of the message
",D,,0
200,"			confirmed. It is from the Shelia
",D,,0
201,"			star system.
",D,,0
202,"
",E,,0
203,"					RIKER
",C,,0
204,"			The Sheliak have not attempted
",D,,0
205,"			to communicate with the Federation
",D,,0
206,"			for a hundred and eleven years.
",D,,0
207,"
",E,,0
208,"					PICARD
",C,,0
209,"			On screen.
",D,,0
210,"
",E,,0
211,4    ANGLE ON VIEWSCREEN (OPTICAL),S,,0
212,"
",E,,0
213,"	What appears is the text of a treaty. English on one
",A,,0
214,"	side, Sheliak on the other. Sheliak is not symbols
",A,,0
215,"	as we know them, but rather a pattern of lights. A
",A,,0
216,"	recorded message begins.
",A,,0
217,"
",E,,0
218,"					SHELIAK VOICE
",C,,0
219,"			Federation creatures, there are
",D,,0
220,"			humans on the fifth planet of Tau
",D,,0
221,"			Cygna. This planet was ceded
",D,,0
222,"			to the corporate in section one
",D,,0
223,"			hundred and thirty-three,
",D,,0
224,"			paragraph seventy-seven of the
",D,,0
225,"			Treaty of Armens. We will begin
",D,,0
226,"			settlement of this world in four
",D,,0
227,"			days. Remove the humans.
",D,,0
228,"
",E,,0
229,"	Riker is up, and heading for Science One.
",A,,0
230,"
",E,,0
231,"					PICARD
",C,,0
232,"			What the devil --
",D,,0
233,"
",E,,0
234,"					SHELIAK VOICE
",C,,0
235,"			Federation creatures, there are
",D,,0
236,"			humans on the fifth planet --
",D,,0
237,"
",E,,0
238,"					PICARD
",C,,0
239,"			Cancel message.
",D,,0
240,"
",E,,0
241,"	Inquiring look to Riker.
",A,,0
242,"
",E,,0
243,"					RIKER
",C,,0
244,"			Tau Cygna Five is in the de Laure
",D,,0
245,"			belt -- heavy concentrations of
",D,,0
246,"			hyperonic radiation.
",D,,0
247,"
",E,,0
248,"STAR TREK: ""Ensigns of Command"" - REV. 7/14/89 - TEASER   4.",H,,0
249,"
",E,,0
250,4    CONTINUED:,S,,0
251,"
",E,,0
252,"					PICARD
",C,,0
253,"			Humans can't survive in such an
",D,,0
254,"			environment. Exposure to
",D,,0
255,"			hyperonic radiation is fatal.
",D,,0
256,"
",E,,0
257,"					RIKER
",C,,0
258,"			Then the Sheliak are asking us
",D,,0
259,"			to chase ghosts.
",D,,0
260,"
",E,,0
261,"					PICARD
",C,,0
262,"			No, Number One. The Sheliak
",D,,0
263,"			haven't broken a century of
",D,,0
264,"			silence to send us after phantoms.
",D,,0
265,"			An investigation is in order.
",D,,0
266,"			Set course for Tau Cygna Five.
",D,,0
267,"
",E,,0
268,"	Off Picard's expression:
",A,,0
269,"
",E,,0
270,"									FADE OUT.
",O,,0
271,"
",E,,0
272,"                       END OF THE TEASER                        
",N,act,0
273,"
",E,,0
274,"STAR TREK: ""Ensigns of Command"" REV. 7/19/89 - ACT ONE   5.",H,,0
275,"
",E,,0
276,"                            ACT ONE                             
",N,act,0
277,"
",E,,0
278,"	FADE IN:
",A,,0
279,"
",E,,0
280,5    EXT. SPACE - THE ENTERPRISE (OPTICAL),S,,0
281,"
",E,,0
282,"	entering orbit around a planet.
",A,,0
283,"
",E,,0
284,6    INT. MAIN BRIDGE,S,,0
285,"
",E,,0
286,"	Picard, Riker, Data, Beverly and Worf. Supernumerary
",A,,0
287,"	at CONN.
",A,,0
288,"
",E,,0
289,"					WORF
",C,,0
290,"			Human life form readings from the
",D,,0
291,"			planet.
",D,,0
292,"
",E,,0
293,"					RIKER
",C,,0
294,"			So, the Sheliak weren't
",D,,0
295,"			hallucinating.
",D,,0
296,"
",E,,0
297,"					PICARD
",C,,0
298,"			Numbers?
",D,,0
299,"
",E,,0
300,"					WORF
",C,,0
301,"			Impossible to get an accurate
",D,,0
302,"			reading, Captain. The high
",D,,0
303,"			radiation levels are disrupting
",D,,0
304,"			our sensors.
",D,,0
305,"
",E,,0
306,"					DATA
",C,,0
307,"			Hyperonic radiation also
",D,,0
308,"			interferes with ship's
",D,,0
309,"			transporters; they are now
",D,,0
310,"			inoperable.
",D,,0
311,"
",E,,0
312,"					WORF
",C,,0
313,"			So are the ship's phasers.
",D,,0
314,"
",E,,0
315,"					RIKER
",C,,0
316,"			How can humans survive down there?
",D,,0
317,"
",E,,0
318,"					BEVERLY
",C,,0
319,"			They must have found a way to
",D,,0
320,"			adapt.
",D,,0
321,"				(thinks it over)
",M,,0
322,"			Milan's work in radiation
",D,,0
323,"			sensitivity suggests it's
",D,,0
324,"			possible. Perhaps with extensive
",D,,0
325,"			virotherapy...
",D,,0
326,"				(grimly)
",M,,0
327,"			Until they found the answer, their
",D,,0
328,"			mortality rate must have been
",D,,0
329,"			staggering.
",D,,0
330,"
",E,,0
331,"STAR TREK: ""Ensigns of Command"" - REV. 7/18/79 - ACT ONE  6.",H,,0
332,"
",E,,0
333,6    CONTINUED:,S,,0
334,"
",E,,0
335,"					PICARD
",C,,0
336,"			Well, whoever they are and however
",D,,0
337,"			they've survived, we've got to
",D,,0
338,"			get them off the planet.
",D,,0
339,"
",E,,0
340,"					RIKER
",C,,0
341,"			By treaty, this world does belong
",D,,0
342,"			to the Sheliak...
",D,,0
343,"
",E,,0
344,"					PICARD
",C,,0
345,"			... who are within their rights
",D,,0
346,"			to demand the removal of these
",D,,0
347,"			""trespassers.""
",D,,0
348,"
",E,,0
349,"					RIKER
",C,,0
350,"			And if we don't remove them, the
",D,,0
351,"			Sheliak will.
",D,,0
352,"
",E,,0
353,"					BEVERLY
",C,,0
354,"			How forcefully?
",D,,0
355,"
",E,,0
356,"					RIKER
",C,,0
357,"			To the Sheliak, humans are a lower
",D,,0
358,"			life form. They'd have no
",D,,0
359,"			compunctions about exterminating
",D,,0
360,"			the intruders.
",D,,0
361,"
",E,,0
362,"	Beverly is taken aback. Riker's dead serious.
",A,,0
363,"
",E,,0
364,"					PICARD
",C,,0
365,"			Mister Data. As you are unaffected
",D,,0
366,"			by hyperonic radiation, you will
",D,,0
367,"			go to the planet via shuttlecraft
",D,,0
368,"			and commence evacuation
",D,,0
369,"			procedures.
",D,,0
370,"
",E,,0
371,"					DATA
",C,,0
372,"			Aye, sir.
",D,,0
373,"
",E,,0
374,"	Without a word wasted the android is out of his chair,
",A,,0
375,"	and EXITS the bridge.
",A,,0
376,"
",E,,0
377,"					PICARD
",C,,0
378,"			Any speculation as to what he'll
",D,,0
379,"			find, Number One?
",D,,0
380,"
",E,,0
381,"					RIKER
",C,,0
382,"			A lost survey ship would be my
",D,,0
383,"			guess. A dozen or so survivors
",D,,0
384,"			at most.
",D,,0
385,"
",E,,0
386,"									CUT TO:
",O,,0
387,"
",E,,0
388,"STAR TREK: ""Ensigns of Command"" - REV. 7/17/89 - ACT ONE  6A.",H,,0
389,"
",E,,0
390,7    EXT. PLANET SURFACE - SHUTTLE LANDING SITE - DAY,S,,0
391,"
",E,,0
392,"	Data is outside the shuttle, scanning with his
",A,,0
393,"	tricorder.
",A,,0
394,"
",E,,0
395,7A   NEW ANGLE,S,,0
396,"
",E,,0
397,"	as HARITATH and KENTOR (two male humans) and TWO N.D.
",A,,0
398,"	WORKERS cautiously approach the shuttle from the other
",A,,0
399,"	side (the shuttle blocks their view of Data).
",A,,0
400,"
",E,,0
401,"					HARITATH
",C,,0
402,"				(in wonder)
",M,,0
403,"			A shuttlecraft!
",D,,0
404,"
",E,,0
405,"					KENTOR
",C,,0
406,"			Where's it from?
",D,,0
407,"
",E,,0
408,"					HARITATH
",C,,0
409,"			Look at the markings. I think
",D,,0
410,"			it's from the Federation.
",D,,0
411,"
",E,,0
412,"	Data steps into their view from around the shuttle.
",A,,0
413,"
",E,,0
414,"					DATA
",C,,0
415,"			Hello.
",D,,0
416,"
",E,,0
417,"	The four humans jump, startled.
",A,,0
418,"
",E,,0
419,"					HARITATH
",C,,0
420,"			We saw your ship... You're the
",D,,0
421,"			first visitor we've had in...
",D,,0
422,"
",E,,0
423,"STAR TREK: ""Ensigns of Command"" - REV. 7/14/89 - ACT ONE  7.",H,,0
424,"
",E,,0
425,7A   CONTINUED: (2),S,,0
426,"
",E,,0
427,"					KENTOR
",C,,0
428,"			The first visitor we've ever had.
",D,,0
429,"
",E,,0
430,"	They take a closer look at Data.
",A,,0
431,"
",E,,0
432,"					HARITATH
",C,,0
433,"			You're -- not human.
",D,,0
434,"
",E,,0
435,"					DATA
",C,,0
436,"			That is correct. I am an android.
",D,,0
437,"			I am Lieutenant Commander Data
",D,,0
438,"			of the Federation Starship
",D,,0
439,"			Enterprise.
",D,,0
440,"
",E,,0
441,"					HARITATH
",C,,0
442,"				(excited)
",M,,0
443,"			Our great-grandparents were
",D,,0
444,"			citizens of the Federation.
",D,,0
445,"				(realizing)
",M,,0
446,"			But you don't want to waste time
",D,,0
447,"			talking to us...
",D,,0
448,"
",E,,0
449,"					KENTOR
",C,,0
450,"			You'll want to speak with
",D,,0
451,"			Gosheven. We'll take you to him.
",D,,0
452,"
",E,,0
453,"					DATA
",C,,0
454,"			Excellent.
",D,,0
455,"
",E,,0
456,"					HARITATH
",C,,0
457,"			I'm sure the Federation will be
",D,,0
458,"			very proud of us. Wait until you
",D,,0
459,"			see all we've accomplished.
",D,,0
460,"
",E,,0
461,"					DATA
",C,,0
462,"			And who, precisely, is ""we?""
",D,,0
463,"
",E,,0
464,"					HARITATH
",C,,0
465,"			You don't know? No, I guess you
",D,,0
466,"			wouldn't, would you? We are the
",D,,0
467,"			descendants of the original
",D,,0
468,"			settlers -- from the colony ship
",D,,0
469,"			Artemis.
",D,,0
470,"
",E,,0
471,"									CUT TO:
",O,,0
472,"
",E,,0
473,8    INT. ENTERPRISE - MAIN BRIDGE,S,,0
474,"
",E,,0
475,"	Picard and Worf in their usual places. Riker at
",A,,0
476,"	Science One. Supernumeraries at Conn and Ops.
",A,,0
477,"
",E,,0
478,"STAR TREK: ""Ensigns of Command"" REV. 7/19/89 - ACT ONE   8.",H,,0
479,"
",E,,0
480,8    CONTINUED:,S,,0
481,"
",E,,0
482,"					RIKER
",C,,0
483,"			Got it. The Artemis, launched one
",D,,0
484,"			hundred forty-two years ago,
",D,,0
485,"			destination Septimis Minor. When
",D,,0
486,"			they failed to check in, Starfleet
",D,,0
487,"			began an extensive search.
",D,,0
488,"
",E,,0
489,"					PICARD
",C,,0
490,"			What carried the Artemis so far
",D,,0
491,"			off course?
",D,,0
492,"
",E,,0
493,9    EXT. PLANET SURFACE - SHUTTLE LANDING SITE - DAY,S,,0
494,"
",E,,0
495,"	Haritath and Kentor wait patiently for Data to finish
",A,,0
496,"	him communication.
",A,,0
497,"
",E,,0
498,"					DATA
",C,,0
499,"			My local informant does not know.
",D,,0
500,"			In the early days survival on Tau
",D,,0
501,"			Cygna Five was more important than
",D,,0
502,"			history.
",D,,0
503,"
",E,,0
504,10   INTERCUTS,S,,0
505,"
",E,,0
506,"					PICARD
",C,,0
507,"			Understood. How many are there?
",D,,0
508,"
",E,,0
509,"					DATA
",C,,0
510,"			Approximately fifteen thousand.
",D,,0
511,"
",E,,0
512,"	Reactions from the bridge crew. Now they really have
",A,,0
513,"	got a problem.
",A,,0
514,"
",E,,0
515,"					RIKER
",C,,0
516,"				(to Picard)
",M,,0
517,"			We've only got three days.
",D,,0
518,"			Without working transporters, we
",D,,0
519,"			couldn't have them out in time.
",D,,0
520,"
",E,,0
521,"					PICARD
",C,,0
522,"			Shuttles?
",D,,0
523,"
",E,,0
524,"	Worf does some figuring on his console.
",A,,0
525,"
",E,,0
526,"					WORF
",C,,0
527,"			Loading all the Enterprise
",D,,0
528,"			shuttlecraft to capacity --
",D,,0
529,"			evacuation would take four weeks,
",D,,0
530,"			four days.
",D,,0
531,"
",E,,0
532,"STAR TREK: ""Ensigns of Command"" REV. 7/24/89 - ACT ONE   9.",H,,0
533,"
",E,,0
534,10   CONTINUED:,S,,0
535,"
",E,,0
536,"					PICARD
",C,,0
537,"			Then we need more time. Mister
",D,,0
538,"			Data, prepare the colonists for
",D,,0
539,"			an evacuation.
",D,,0
540,"
",E,,0
541,"					DATA'S COM VOICE
",C,,0
542,"			Aye, sir.
",D,,0
543,"
",E,,0
544,"	Picard closes the com line.
",A,,0
545,"
",E,,0
546,"					PICARD
",C,,0
547,"				(continuing)
",M,,0
548,"			Mister Worf, get me the Sheliak.
",D,,0
549,"
",E,,0
550,"					WORF
",C,,0
551,"			Their home world is quite distant,
",D,,0
552,"			Captain. This will take some
",D,,0
553,"			time.
",D,,0
554,"
",E,,0
555,"									CUT TO:
",O,,0
556,"
",E,,0
557,11   EXT. PLANET SURFACE - MAIN STREET - DAY,S,,0
558,"
",E,,0
559,"	The main pumping station of Tau Cygna V. In the
",A,,0
560,"	distance are mountains. A thin white line descends
",A,,0
561,"	from the mountains, and as it comes closer we realize
",A,,0
562,"	it is an aqueduct. Along the line of the aqueduct are
",A,,0
563,"	lush fields, a veritable Garden of Eden, which ends
",A,,0
564,"	like a knife-cut and the desert returns. It culminates
",A,,0
565,"	in a strange cubistic-shaped purifying station. In a
",A,,0
566,"	pool, the water churns into a white froth.
",A,,0
567,"
",E,,0
568,"	GOSHEVEN, the leader, supervises TWO WORKERS testing
",A,,0
569,"	the water in the pool.
",A,,0
570,"
",E,,0
571,"	Data, Haritath, and Kentor approach.
",A,,0
572,"
",E,,0
573,"					HARITATH
",C,,0
574,"			Gosheven, look what's come --
",D,,0
575,"
",E,,0
576,"	Gosheven sees Data, looks him up and down very
",A,,0
577,"	carefully. Gosheven's as surprised as Haritath was,
",A,,0
578,"	but keeps a lid on it -- Data may represent a threat,
",A,,0
579,"	so Gosheven's attempting a poker face.
",A,,0
580,"
",E,,0
581,"					DATA
",C,,0
582,"			Lieutenant Commander Data of the
",D,,0
583,"			Starship Enterprise.
",D,,0
584,"
",E,,0
585,"STAR TREK: ""Ensigns of Command"" REV. 7/20/89 - ACT ONE   10.",H,,0
586,"
",E,,0
587,11   CONTINUED:,S,,0
588,"
",E,,0
589,"					KENTOR
",C,,0
590,"			He's an android.
",D,,0
591,"
",E,,0
592,"					GOSHEVEN
",C,,0
593,"			So he is.
",D,,0
594,"				(a beat)
",M,,0
595,"			Well, you're here -- what do you
",D,,0
596,"			want?
",D,,0
597,"
",E,,0
598,"					DATA
",C,,0
599,"			My mission is to prepare this
",D,,0
600,"			colony for evacuation.
",D,,0
601,"
",E,,0
602,"	Reactions from the men. Gosheven is calm, almost
",A,,0
603,"	amused:
",A,,0
604,"
",E,,0
605,"					GOSHEVEN
",C,,0
606,"			Why?
",D,,0
607,"
",E,,0
608,"					DATA
",C,,0
609,"			Because this planet belongs to
",D,,0
610,"			the Sheliak.
",D,,0
611,"
",E,,0
612,"					GOSHEVEN
",C,,0
613,"			And just who is this Sheliak?
",D,,0
614,"
",E,,0
615,"					DATA
",C,,0
616,"			The term is plural. The Sheliak
",D,,0
617,"			are an intelligent, non-humanoid
",D,,0
618,"life form, classification R-3 --",D,,0
619,"
",E,,0
620,"					GOSHEVEN
",C,,0
621,"				(interrupting)
",M,,0
622,"			This colony's been here for a
",D,,0
623,"			hundred and forty years -- and
",D,,0
624,"			no one's ever seen a Sheliak.
",D,,0
625,"			I'd say that makes Tau Cygna
",D,,0
626,"			Five our planet. (ALTERNATE:
",D,,0
627,"			ninety years)
",D,,0
628,"
",E,,0
629,"					DATA
",C,,0
630,"			But the original destination of
",D,,0
631,"			the Artemis was Septimis Minor.
",D,,0
632,"
",E,,0
633,"					GOSHEVEN
",C,,0
634,"			The guidance systems on the
",D,,0
635,"			Artemis failed -- and sent them
",D,,0
636,"			off course. Far off course.
",D,,0
637,"			Our ancestors were lucky to find
",D,,0
638,"			any place to land.
",D,,0
639,"
",E,,0
640,"STAR TREK: ""Ensigns of Command"" REV. 7/24/89 - ACT ONE   11.",H,,0
641,"
",E,,0
642,11   CONTINUED: (2),S,,0
643,"
",E,,0
644,"					HARITATH
",C,,0
645,"			And when they did, the radiation
",D,,0
646,"			started killing them.
",D,,0
647,"
",E,,0
648,"					GOSHEVEN
",C,,0
649,"			Hyperonic radiation took the lives
",D,,0
650,"			of a third of the colonists before
",D,,0
651,"			they learned they could adapt
",D,,0
652,"			to it.
",D,,0
653,"
",E,,0
654,"					KENTOR
",C,,0
655,"			But the colony survived -- and
",D,,0
656,"			prospered.
",D,,0
657,"
",E,,0
658,"					GOSHEVEN
",C,,0
659,"				(with pride)
",M,,0
660,"			Look around. We've brought
",D,,0
661,"			water to the desert, built a
",D,,0
662,"			community.
",D,,0
663,"
",E,,0
664,"					DATA
",C,,0
665,"			Your accomplishments are indeed
",D,,0
666,"			remarkable. However, the
",D,,0
667,"			Sheliak and the Federation
",D,,0
668,"			have a treaty that clearly makes
",D,,0
669,"			this planet Sheliak domain.
",D,,0
670,"
",E,,0
671,"					GOSHEVEN
",C,,0
672,"			Then change the treaty.
",D,,0
673,"
",E,,0
674,"					DATA
",C,,0
675,"			That may not be possible. The
",D,,0
676,"			Sheliak wish to colonize this
",D,,0
677,"			planet, and they are unwilling
",D,,0
678,"			to share it with humans.
",D,,0
679,"					(MORE)
",C,,0
680,"
",E,,0
681,"STAR TREK: ""Ensigns of Command"" REV. 7/24/89 - ACT ONE   12.",H,,0
682,"
",E,,0
683,11   CONTINUED: (3),S,,0
684,"
",E,,0
685,"					DATA (cont'd)
",C,,0
686,"			If you are still here when the
",D,,0
687,"			Sheliak colony ship arrives,
",D,,0
688,"			they will eradicate you.
",D,,0
689,"
",E,,0
690,"	Haritath and Kentor exchange a worried glance, but
",A,,0
691,"	Gosheven is unfazed.
",A,,0
692,"
",E,,0
693,"					HARITATH
",C,,0
694,"			They would kill us all?
",D,,0
695,"
",E,,0
696,"					DATA
",C,,0
697,"			They have little regard for
",D,,0
698,"			human life. Thus, our most
",D,,0
699,"			sensible course is to prepare a
",D,,0
700,"			contingency plan for the
",D,,0
701,"			evacuation of your people.
",D,,0
702,"
",E,,0
703,"					GOSHEVEN
",C,,0
704,"			We're not evacuating.
",D,,0
705,"
",E,,0
706,"	Data is taken aback.
",A,,0
707,"
",E,,0
708,"STAR TREK: ""Ensigns of Command"" - REV. 7/18/79 - ACT ONE 12A.",H,,0
709,"
",E,,0
710,11   CONTINUED: (4),S,,0
711,"
",E,,0
712,"					DATA
",C,,0
713,"			Perhaps I have not made myself
",D,,0
714,"			clear.
",D,,0
715,"
",E,,0
716,"					GOSHEVEN
",C,,0
717,"			Yes, you have. Now let me be
",D,,0
718,"			equally clear. There's going
",D,,0
719,"			to be no evacuation.
",D,,0
720,"				(a beat)
",M,,0
721,"			You've delivered your message --
",D,,0
722,"			so go back to your ship. I have
",D,,0
723,"			work to do.
",D,,0
724,"
",E,,0
725,"	Gosheven returns to his work on the pumping station.
",A,,0
726,"
",E,,0
727,"STAR TREK: ""Ensigns of Command"" - REV. 7/18/89 - ACT ONE  13.",H,,0
728,"
",E,,0
729,11A  ON DATA,S,,0
730,"
",E,,0
731,"	as he considers his next move. Then -- an object comes
",A,,0
732,"	flying at Data.
",A,,0
733,"
",E,,0
734,"	With android speed and reflexes, Data catches the
",A,,0
735,"	object and examines it. It is an iron bar.
",A,,0
736,"
",E,,0
737,"					ARD'RIAN (O.S.)
",C,,0
738,"			Nice catch. Wonderful reflexes.
",D,,0
739,"
",E,,0
740,"	Data turns to see --
",A,,0
741,"
",E,,0
742,11B  WIDER,S,,0
743,"
",E,,0
744,"	ARD'RIAN, an attractive female, approaches.
",A,,0
745,"
",E,,0
746,"					ARD'RIAN
",C,,0
747,"			Sorry to test you like that --
",D,,0
748,"			but I was curious.
",D,,0
749,"
",E,,0
